"","X","method","nstudents","ntests","VE","pval"
"1",1,"TTE_01",5798,149349,"12.02% (-4.41% to 25.86%)",0.1427
"2",1,"TTE_02",5798,149349,"5.74% (-13.33% to 21.6%)",0.5295
"3",1,"TTE_03",1238,42231,"-48.3% (-117.34% to -1.19%)",0.0433
"4",1,"TTE_04",5798,149349,"-58.49% (-93.3% to -29.96%)",0
"5",1,"TTE_05",5798,149349,"13.02% (-4.58% to 27.66%)",0.1379
"6",1,"TTE_06",5798,149349,"18.18% (2.54% to 31.3%)",0.0245
"7",1,"TND_01",12875,323373,"4.29% (-8.43% to 15.52%)",0.4906
"8",1,"TND_02",12875,323373,"2.3% (-24.55% to 23.36%)",0.851
"9",1,"TND_03",2714,99104,"-16.62% (-57.54% to 13.67%)",0.3164
"10",1,"TND_04",12875,323373,"-2.33% (-20.43% to 13.04%)",0.7812
"11",1,"TND_05",12875,323373,"3.59% (-13.92% to 18.41%)",0.6673
"12",1,"TND_06",12875,323373,"5.28% (-22.69% to 26.87%)",0.6813
