"","raw_data","school_year_21_22","primary_enroll","ages_12_18","school_sample_size_large","gender","no_transfers","more_than_3_tests","only_1_per_week","more_than_3_weeks"
"ntests",1299989,640094,638168,127434,125122,124918,124600,123073,97160,97076
"nIDs",28912,25059,24875,8001,7637,7631,7612,6465,6465,6423
