"","raw_data","school_year_22_23","primary_enroll","ages_5_11","school_sample_size_large","gender","no_transfers","more_than_3_tests","only_1_per_week","more_than_3_weeks"
"ntests",1299989,633412,632560,530683,530229,529982,520632,519971,323653,323373
"nIDs",28912,18590,18491,13762,13722,13718,13478,13015,13015,12875
