"","X","method","nstudents","ntests","VE","pval"
"1",1,"TTE_01",3632,55652,"-13.8% (-50.41% to 13.91%)",0.3639
"2",1,"TTE_02",3632,55652,"-21.41% (-63.42% to 9.8%)",0.2007
"3",1,"TTE_03",798,19454,"34.51% (-8.16% to 60.34%)",0.0982
"4",1,"TTE_04",3632,55652,"-111.57% (-197.27% to -50.57%)",0
"5",1,"TTE_05",3632,55652,"14.81% (-14.92% to 36.84%)",0.294
"6",1,"TTE_06",3632,55652,"-13.93% (-37.4% to 5.52%)",0.1722
"7",1,"TND_01",6423,97076,"9.11% (-11.57% to 25.96%)",0.3611
"8",1,"TND_02",6423,97076,"5.29% (-20.91% to 25.81%)",0.6629
"9",1,"TND_03",1489,39929,"29.31% (-2.37% to 51.19%)",0.0663
"10",1,"TND_04",6423,97076,"13.5% (-45.58% to 48.6%)",0.5852
"11",1,"TND_05",6423,97076,"30.57% (-34.33% to 64.11%)",0.2786
"12",1,"TND_06",6423,97076,"12.3% (-181.1% to 72.64%)",0.8252
