"","raw_data","school_year_22_23","primary_enroll","ages_12_18","school_sample_size_large","gender","no_transfers","more_than_3_tests","only_1_per_week","more_than_3_weeks"
"ntests",1299989,633412,632560,69320,68685,68666,68097,67011,50029,49909
"nIDs",28912,18590,18491,4045,3922,3920,3898,3075,3075,3015
