"","raw_data","school_year_21_22","primary_enroll","ages_5_11","school_sample_size_large","gender","no_transfers","more_than_3_tests","only_1_per_week","more_than_3_weeks"
"ntests",1299989,640094,638168,483847,482711,482553,475999,475340,344913,344834
"nIDs",28912,25059,24875,16021,15917,15913,15676,15241,15241,15202
