FISCAL_YEAR,sys_sch,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc,K12_POVERTY_STUDENT_CT,K12_STUDENT_COUNT
2023,601103,601,Appling County,103,Appling County High School,36.40000153,386,1061
2023,601177,601,Appling County,177,Appling County Elementary School,52.90000153,552,1044
2023,601195,601,Appling County,195,Appling County Middle School,44,314,713
2023,6011050,601,Appling County,1050,Altamaha Elementary School,34.20000076,113,330
2023,6015050,601,Appling County,5050,Fourth District Elementary School,35.29999924,36,102
2023,602103,602,Atkinson County,103,Atkinson County High School,35.20000076,157,446
2023,602111,602,Atkinson County,111,Atkinson County Middle School,46.09999847,167,362
2023,602187,602,Atkinson County,187,Willacoochee Elementary School,60.29999924,94,156
2023,602190,602,Atkinson County,190,Pearson Elementary School,48.90000153,283,579
2023,603102,603,Bacon County,102,Bacon County Primary School,55.59999847,266,478
2023,603202,603,Bacon County,202,Bacon County Middle School,44.70000076,208,465
2023,603302,603,Bacon County,302,Bacon County High School,37.09999847,238,642
2023,6033050,603,Bacon County,3050,Bacon County Elementary School,51,230,451
2023,604105,604,Baker County,105,Baker County K12 School,60.90000153,170,279
2023,604183,604,Baker County,183,Baker County Learning Academy,62.5,5,8
2023,605100,605,Baldwin County,100,Oak Hill MS,58.79999924,580,986
2023,605189,605,Baldwin County,189,Baldwin High School,44.59999847,585,1311
2023,605300,605,Baldwin County,300,Lakeview Academy,50.59999847,329,650
2023,605301,605,Baldwin County,301,Midway Hills Primary,58.70000076,284,484
2023,605302,605,Baldwin County,302,Lakeview Primary,52.29999924,292,558
2023,605303,605,Baldwin County,303,Midway Hills Academy,66,282,427
2023,606105,606,Banks County,105,Banks County Middle School,23.60000038,151,641
2023,606107,606,Banks County,107,Banks County Elementary School,23,147,639
2023,606199,606,Banks County,199,Banks County High School,16.20000076,139,858
2023,606205,606,Banks County,205,Banks County Primary School,27.79999924,192,690
2023,607101,607,Barrow County,101,Apalachee High School,20.10000038,381,1894
2023,607105,607,Barrow County,105,County Line Elementary School,23.10000038,125,540
2023,607106,607,Barrow County,106,Haymon-Morris Middle School,22.20000076,180,809
2023,607114,607,Barrow County,114,Bear Creek Middle School,23.29999924,157,673
2023,607189,607,Barrow County,189,Kennedy Elementary School,29.29999924,257,877
2023,607193,607,Barrow County,193,Bramlett Elementary School,17.39999962,110,632
2023,607198,607,Barrow County,198,Westside Middle School,28.70000076,211,736
2023,607205,607,Barrow County,205,Bethlehem Elementary School,24.70000076,187,756
2023,607289,607,Barrow County,289,Russell Middle School,23.29999924,217,931
2023,607298,607,Barrow County,298,Yargo Elementary School,19.70000076,167,847
2023,607299,607,Barrow County,299,Winder Elementary School,37.29999924,229,614
2023,607300,607,Barrow County,300,Barrow Arts and Sciences Academy,11.39999962,121,1064
2023,6071050,607,Barrow County,1050,Auburn Elementary School,26.89999962,189,702
2023,6073052,607,Barrow County,3052,Winder-Barrow High School,21.39999962,383,1787
2023,6074050,607,Barrow County,4050,Holsenbeck Elementary School,24.5,189,772
2023,6075050,607,Barrow County,5050,Statham Elementary School,22.79999924,167,733
2023,608101,608,Bartow County,101,Woodland Middle School at Euharlee,24.10000038,165,684
2023,608104,608,Bartow County,104,Clear Creek Elementary School,29.39999962,182,620
2023,608105,608,Bartow County,105,Adairsville High School,18.60000038,218,1170
2023,608106,608,Bartow County,106,Pine Log Elementary,24.29999924,91,375
2023,608107,608,Bartow County,107,Euharlee Elementary School,25.70000076,124,482
2023,608114,608,Bartow County,114,Cass High School,24.10000038,374,1551
2023,608115,608,Bartow County,115,Cloverleaf Elementary,31.29999924,188,601
2023,608175,608,Bartow County,175,White Elementary School,28.70000076,156,543
2023,608177,608,Bartow County,177,Adairsville Elementary School,22,171,778
2023,608186,608,Bartow County,186,Mission Road Elementary School,24.39999962,101,414
2023,608190,608,Bartow County,190,Red Top Middle School,39.59999847,224,565
2023,608195,608,Bartow County,195,Cass Middle School,30,264,879
2023,608196,608,Bartow County,196,Allatoona Elementary School,41.20000076,160,388
2023,608198,608,Bartow County,198,Woodland High School,21.29999924,309,1451
2023,608296,608,Bartow County,296,Kingston Elementary School,37.09999847,187,504
2023,608301,608,Bartow County,301,Adairsville Middle School,21,177,843
2023,608377,608,Bartow County,377,Hamilton Crossing Elementary School,29,157,542
2023,608396,608,Bartow County,396,Taylorsville Elementary School,27.70000076,142,512
2023,6082052,608,Bartow County,2052,Emerson Elementary School,38.09999847,134,352
2023,609111,609,Ben Hill County,111,Ben Hill Elementary School,51.29999924,278,542
2023,609196,609,Ben Hill County,196,Ben Hill County Primary School,55.29999924,367,664
2023,609291,609,Ben Hill County,291,Fitzgerald High School School College and Career Academy,37,319,862
2023,609296,609,Ben Hill County,296,Ben Hill County Middle School,46.20000076,318,688
2023,609392,609,Ben Hill County,392,Hurricane Transition Academy,40.79999924,20,49
2023,610101,610,Berrien County,101,Berrien High School,27.5,235,853
2023,610106,610,Berrien County,106,Berrien Academy Performance Learning Center,34.20000076,25,73
2023,610194,610,Berrien County,194,Berrien Middle School,34.70000076,238,685
2023,610195,610,Berrien County,195,Berrien Elementary School,41.70000076,272,653
